trippoint_id,point_timestamp,latitude,longitude,category,speed,speed_limit,bearing,trip_id
6105246976,2015-04-23 11:28:55,41.973366,12.5476,5,48.0,20.0,46.0,1300116127
6142168027,2015-04-30 04:46:00,41.973416,12.547633,5,112.0,20.0,300.0,1308348545
5972016503,2015-04-01 09:22:03,41.973433,12.5476,1,108.0,20.0,300.0,1270333005
6004880193,2015-04-07 09:56:53,41.97335,12.54756,5,70.0,20.0,120.0,1277418208
6125693500,2015-04-27 09:06:56,41.973447,12.547638,1,110.0,20.0,300.0,1304509550
5982922996,2015-04-03 10:12:27,41.973366,12.547566,5,98.0,20.0,120.0,1272787240
6105536382,2015-04-23 16:04:06,41.973433,12.547583,1,110.0,20.0,300.0,1300189050
5987565729,2015-04-02 13:06:29,41.97335,12.547566,5,94.0,20.0,120.0,1273829527
6014066969,2015-04-08 04:35:32,41.973416,12.547633,5,112.0,20.0,300.0,1279425546
5979525602,2015-04-02 16:43:02,41.97342,12.54764,5,42.0,20.0,42.0,1272008308
6030441787,2015-04-11 06:07:06,41.973433,12.547633,1,118.0,20.0,300.0,1283181070
6032637739,2015-04-11 16:19:13,41.97335,12.547583,5,126.0,20.0,120.0,1283674562
6022728341,2015-04-10 06:54:52,41.973416,12.547616,5,104.0,20.0,300.0,1281390249
6119200318,2015-04-25 16:45:11,41.973366,12.547566,5,114.0,20.0,120.0,1303196347
6086212834,2015-04-20 17:25:08,41.973383,12.547633,5,46.0,20.0,42.0,1301829754
6073372799,2015-04-18 13:04:40,41.973366,12.547633,5,116.0,20.0,300.0,1293305321
6064208707,2015-04-16 17:39:29,41.973383,12.54755,5,108.0,20.0,120.0,1290763659
6029743810,2015-04-11 09:54:19,41.97335,12.547616,5,92.0,20.0,120.0,1283019273
6096984351,2015-04-22 13:00:38,41.973416,12.547616,5,106.0,20.0,302.0,1298215795
6076266228,2015-04-18 14:34:32,41.97335,12.547554,5,112.0,20.0,120.0,1293546217
6125333955,2015-04-27 09:54:11,41.973366,12.547566,5,124.0,20.0,120.0,1305459102
6009890857,2015-04-08 06:19:20,41.973394,12.547639,5,58.0,20.0,46.0,1278464286
